Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[22]     0.2    0.03    0.00                 __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::operator-(long const&) const [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     0.2    0.03    0.00                 std::_Iter_base<int*, false>::_S_base(int*) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.2    0.03    0.00                 char* std::__copy_move_a<false, char*, char*>(char*, char*, char*) [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.1    0.00    0.02                 main [25]
                0.01    0.00   18018/18018       cv::Mat::Mat(cv::Mat const&) [61]
                0.01    0.00       2/2           cv::Range::Range() [62]
                0.00    0.00  180180/180180      cv::Point_<int>::Point_() [152]
                0.00    0.00   45048/81084       cv::Mat::~Mat() [156]
                0.00    0.00   27027/36036       cv::Mat::operator=(cv::Mat const&) [161]
                0.00    0.00   18018/18018       cv::Mat::operator()(cv::Range, cv::Range) const [163]
                0.00    0.00    9009/45045       cv::Mat::MSize::operator()() const [158]
                0.00    0.00       3/18021       cv::Mat::Mat() [162]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.1    0.02    0.00                 __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&) [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.1    0.02    0.00                 __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.1    0.02    0.00                 __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::operator*() const [28]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.1    0.02    0.00                 __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator-(long const&) const [29]
-----------------------------------------------
                                                 <spontaneous>
[30]     0.1    0.02    0.00                 std::vector<char, std::allocator<char> >::size() const [30]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.1    0.02    0.00                 std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const [31]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.1    0.02    0.00                 std::vector<int, std::allocator<int> >::size() const [32]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.1    0.02    0.00                 std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, true>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >) [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.1    0.02    0.00                 std::_Iter_base<std::_Bit_iterator, false>::_S_base(std::_Bit_iterator) [34]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.1    0.02    0.00                 std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() [35]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.1    0.02    0.00                 std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long) [36]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.1    0.02    0.00                 std::_Vector_base<int, std::allocator<int> >::_Vector_base(unsigned long, std::allocator<int> const&) [37]
-----------------------------------------------
                                                 <spontaneous>
[38]     0.1    0.02    0.00                 char* std::__uninitialized_copy<true>::__uninit_copy<char*, char*>(char*, char*, char*) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.1    0.02    0.00                 void std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [39]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.1    0.02    0.00                 std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_fill_insert(__gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >, unsigned long, std::vector<char, std::allocator<char> > const&) [40]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.1    0.02    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long, std::vector<int, std::allocator<int> >) [41]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.1    0.02    0.00                 std::vector<char, std::allocator<char> >::vector(std::vector<char, std::allocator<char> > const&) [42]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.1    0.02    0.00                 std::vector<char, std::allocator<char> >::~vector() [43]
-----------------------------------------------
                                                 <spontaneous>
[44]     0.1    0.02    0.00                 std::vector<int, std::allocator<int> >::begin() [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.1    0.02    0.00                 std::vector<int, std::allocator<int> >::~vector() [45]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.1    0.02    0.00                 std::vector<int, std::allocator<int> >::operator[](unsigned long) [46]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.1    0.02    0.00                 std::_Miter_base<char*>::iterator_type std::__miter_base<char*>(char*) [47]
-----------------------------------------------
                                                 <spontaneous>
[48]     0.1    0.02    0.00                 std::_Miter_base<std::_Bit_const_iterator>::iterator_type std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator) [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.1    0.02    0.00                 int* std::__copy_move_a<false, int*, int*>(int*, int*, int*) [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.1    0.02    0.00                 std::_Bit_iterator std::__copy_move_a<false, std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator) [50]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.1    0.02    0.00                 int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*) [51]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.1    0.02    0.00                 int* std::uninitialized_copy<int*, int*>(int*, int*, int*) [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.1    0.02    0.00                 int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&) [53]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.1    0.02    0.00                 int* std::__uninitialized_move_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.1    0.02    0.00                 unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&) [55]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.1    0.02    0.00                 void std::_Destroy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::allocator<std::vector<char, std::allocator<char> > >&) [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.1    0.02    0.00                 __gnu_cxx::new_allocator<std::vector<char, std::allocator<char> > >::allocate(unsigned long, void const*) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.1    0.02    0.00                 std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long) [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.1    0.02    0.00                 std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long) [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.1    0.02    0.00                 void std::_Destroy<int*>(int*, int*) [60]
-----------------------------------------------
                0.01    0.00   18018/18018       main [25]
[61]     0.1    0.01    0.00   18018         cv::Mat::Mat(cv::Mat const&) [61]
                0.00    0.00   36036/108108      cv::Mat::MStep::operator[](int) [154]
                0.00    0.00   36036/108108      cv::Mat::MStep::operator[](int) const [155]
                0.00    0.00   18018/36039       cv::Mat::MSize::MSize(int*) [159]
                0.00    0.00   18018/36039       cv::Mat::MStep::MStep() [160]
-----------------------------------------------
                0.01    0.00       2/2           main [25]
[62]     0.1    0.01    0.00       2         cv::Range::Range() [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.1    0.01    0.00                 __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator() [63]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.1    0.01    0.00                 __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*) [64]
-----------------------------------------------
                                                 <spontaneous>
[65]     0.1    0.01    0.00                 __gnu_cxx::new_allocator<int>::destroy(int*) [65]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.1    0.01    0.00                 __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*) [66]
-----------------------------------------------
                                                 <spontaneous>
[67]     0.1    0.01    0.00                 __gnu_cxx::new_allocator<int>::construct(int*, int const&) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.1    0.01    0.00                 __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long) [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.1    0.01    0.00                 __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::difference_type __gnu_cxx::operator-<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > > const&) [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.1    0.01    0.00                 __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&) [70]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.1    0.01    0.00                 __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::base() const [71]
-----------------------------------------------
                                                 <spontaneous>
[72]     0.1    0.01    0.00                 std::_Bit_iterator::operator*() const [72]
-----------------------------------------------
                                                 <spontaneous>
[73]     0.1    0.01    0.00                 std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.1    0.01    0.00                 std::vector<bool, std::allocator<bool> >::end() const [74]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.1    0.01    0.00                 std::vector<bool, std::allocator<bool> >::size() const [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.1    0.01    0.00                 std::vector<bool, std::allocator<bool> >::max_size() const [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.1    0.01    0.00                 std::vector<char, std::allocator<char> >::end() const [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.1    0.01    0.00                 std::vector<char, std::allocator<char> >::max_size() const [78]
-----------------------------------------------
                                                 <spontaneous>
[79]     0.1    0.01    0.00                 std::vector<int, std::allocator<int> >::end() const [79]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.1    0.01    0.00                 std::vector<int, std::allocator<int> >::max_size() const [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.1    0.01    0.00                 std::allocator<std::vector<int, std::allocator<int> > >::allocator() [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.1    0.01    0.00                 std::allocator<int>::allocator(std::allocator<int> const&) [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.1    0.01    0.00                 std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.1    0.01    0.00                 std::_Iter_base<std::_Bit_const_iterator, false>::_S_base(std::_Bit_const_iterator) [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.1    0.01    0.00                 char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*) [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.1    0.01    0.00                 int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.1    0.01    0.00                 void std::_Destroy_aux<false>::__destroy<std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*) [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.1    0.01    0.00                 std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_get_Tp_allocator() [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.1    0.01    0.00                 std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl() [89]
-----------------------------------------------
                                                 <spontaneous>
[90]     0.1    0.01    0.00                 std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl() [90]
-----------------------------------------------
                                                 <spontaneous>
[91]     0.1    0.01    0.00                 std::_Vector_base<char, std::allocator<char> >::~_Vector_base() [91]
-----------------------------------------------
                                                 <spontaneous>
[92]     0.1    0.01    0.00                 std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&) [92]
-----------------------------------------------
                                                 <spontaneous>
[93]     0.1    0.01    0.00                 std::_Bit_iterator::_Bit_iterator() [93]
-----------------------------------------------
                                                 <spontaneous>
[94]     0.1    0.01    0.00                 std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl() [94]
-----------------------------------------------
                                                 <spontaneous>
[95]     0.1    0.01    0.00                 std::_Bvector_base<std::allocator<bool> >::_Bvector_base() [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.1    0.01    0.00                 char* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<char>(char const*, char const*, char*) [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.1    0.01    0.00                 std::vector<char, std::allocator<char> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*) [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.1    0.01    0.00                 std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::back() [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.1    0.01    0.00                 std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::resize(unsigned long, std::vector<char, std::allocator<char> >) [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.1    0.01    0.00                 std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::~vector() [100]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.1    0.01    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::back() [101]
-----------------------------------------------
                                                 <spontaneous>
[102]    0.1    0.01    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long) [102]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.1    0.01    0.00                 std::vector<bool, std::allocator<bool> >::_M_insert_aux(std::_Bit_iterator, bool) [103]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.1    0.01    0.00                 std::vector<bool, std::allocator<bool> >::begin() [104]
-----------------------------------------------
                                                 <spontaneous>
[105]    0.1    0.01    0.00                 std::vector<char, std::allocator<char> >::push_back(char const&) [105]
-----------------------------------------------
                                                 <spontaneous>
[106]    0.1    0.01    0.00                 std::vector<char, std::allocator<char> >::operator[](unsigned long) [106]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.1    0.01    0.00                 std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&) [107]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.1    0.01    0.00                 std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [108]
-----------------------------------------------
                                                 <spontaneous>
[109]    0.1    0.01    0.00                 std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >) [109]
-----------------------------------------------
                                                 <spontaneous>
[110]    0.1    0.01    0.00                 std::_Niter_base<std::_Bit_iterator>::iterator_type std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator) [110]
-----------------------------------------------
                                                 <spontaneous>
[111]    0.1    0.01    0.00                 char* std::__copy_move_a<false, char const*, char*>(char const*, char const*, char*) [111]
-----------------------------------------------
                                                 <spontaneous>
[112]    0.1    0.01    0.00                 unsigned long* std::__copy_move_a<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*) [112]
-----------------------------------------------
                                                 <spontaneous>
[113]    0.1    0.01    0.00                 char* std::__copy_move_a2<false, char*, char*>(char*, char*, char*) [113]
-----------------------------------------------
                                                 <spontaneous>
[114]    0.1    0.01    0.00                 std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator) [114]
-----------------------------------------------
                                                 <spontaneous>
[115]    0.1    0.01    0.00                 char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*) [115]
-----------------------------------------------
                                                 <spontaneous>
[116]    0.1    0.01    0.00                 std::vector<char, std::allocator<char> >* std::uninitialized_copy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*) [116]
-----------------------------------------------
                                                 <spontaneous>
[117]    0.1    0.01    0.00                 std::vector<int, std::allocator<int> >* std::uninitialized_copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*) [117]
-----------------------------------------------
                                                 <spontaneous>
[118]    0.1    0.01    0.00                 void std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&) [118]
-----------------------------------------------
                                                 <spontaneous>
[119]    0.1    0.01    0.00                 int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&) [119]
-----------------------------------------------
                                                 <spontaneous>
[120]    0.1    0.01    0.00                 int* std::copy<int*, int*>(int*, int*, int*) [120]
-----------------------------------------------
                                                 <spontaneous>
[121]    0.1    0.01    0.00                 void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&) [121]
-----------------------------------------------
                                                 <spontaneous>
[122]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&) [122]
-----------------------------------------------
                                                 <spontaneous>
[123]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const [123]
-----------------------------------------------
                                                 <spontaneous>
[124]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const [124]
-----------------------------------------------
                                                 <spontaneous>
[125]    0.0    0.01    0.00                 std::_Iter_base<char*, false>::_S_base(char*) [125]
-----------------------------------------------
                                                 <spontaneous>
[126]    0.0    0.01    0.00                 void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >) [126]
-----------------------------------------------
                                                 <spontaneous>
[127]    0.0    0.01    0.00                 std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_allocate(unsigned long) [127]
-----------------------------------------------
                                                 <spontaneous>
[128]    0.0    0.01    0.00                 std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl::~_Vector_impl() [128]
-----------------------------------------------
                                                 <spontaneous>
[129]    0.0    0.01    0.00                 std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long) [129]
-----------------------------------------------
                                                 <spontaneous>
[130]    0.0    0.01    0.00                 std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl() [130]
-----------------------------------------------
                                                 <spontaneous>
[131]    0.0    0.01    0.00                 std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long) [131]
-----------------------------------------------
                                                 <spontaneous>
[132]    0.0    0.01    0.00                 std::_Vector_base<int, std::allocator<int> >::_Vector_base() [132]
-----------------------------------------------
                                                 <spontaneous>
[133]    0.0    0.01    0.00                 std::_Vector_base<int, std::allocator<int> >::~_Vector_base() [133]
-----------------------------------------------
                                                 <spontaneous>
[134]    0.0    0.01    0.00                 std::_Bvector_base<std::allocator<bool> >::~_Bvector_base() [134]
-----------------------------------------------
                                                 <spontaneous>
[135]    0.0    0.01    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end() [135]
-----------------------------------------------
                                                 <spontaneous>
[136]    0.0    0.01    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin() [136]
-----------------------------------------------
                                                 <spontaneous>
[137]    0.0    0.01    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&) [137]
-----------------------------------------------
                                                 <spontaneous>
[138]    0.0    0.01    0.00                 std::vector<bool, std::allocator<bool> >::push_back(bool) [138]
-----------------------------------------------
                                                 <spontaneous>
[139]    0.0    0.01    0.00                 std::vector<int, std::allocator<int> >::end() [139]
-----------------------------------------------
                                                 <spontaneous>
[140]    0.0    0.01    0.00                 int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [140]
-----------------------------------------------
                                                 <spontaneous>
[141]    0.0    0.01    0.00                 int* std::__copy_move_backward_a<false, int*, int*>(int*, int*, int*) [141]
-----------------------------------------------
                                                 <spontaneous>
[142]    0.0    0.01    0.00                 std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [142]
-----------------------------------------------
                                                 <spontaneous>
[143]    0.0    0.01    0.00                 std::vector<int, std::allocator<int> >* std::__uninitialized_move_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [143]
-----------------------------------------------
                                                 <spontaneous>
[144]    0.0    0.01    0.00                 int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*) [144]
-----------------------------------------------
                                                 <spontaneous>
[145]    0.0    0.01    0.00                 void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*) [145]
-----------------------------------------------
                                                 <spontaneous>
[146]    0.0    0.01    0.00                 void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&) [146]
-----------------------------------------------
                                                 <spontaneous>
[147]    0.0    0.01    0.00                 operator delete(void*, void*) [147]
-----------------------------------------------
                0.00    0.00  180180/180180      main [25]
[152]    0.0    0.00    0.00  180180         cv::Point_<int>::Point_() [152]
-----------------------------------------------
                0.00    0.00   36036/117120      cv::Mat::operator=(cv::Mat const&) [161]
                0.00    0.00   81084/117120      cv::Mat::~Mat() [156]
[153]    0.0    0.00    0.00  117120         cv::Mat::release() [153]
-----------------------------------------------
                0.00    0.00   36036/108108      cv::Mat::Mat(cv::Mat const&) [61]
                0.00    0.00   72072/108108      cv::Mat::operator=(cv::Mat const&) [161]
[154]    0.0    0.00    0.00  108108         cv::Mat::MStep::operator[](int) [154]
-----------------------------------------------
                0.00    0.00   36036/108108      cv::Mat::Mat(cv::Mat const&) [61]
                0.00    0.00   72072/108108      cv::Mat::operator=(cv::Mat const&) [161]
