Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.13     14.69     0.02                             std::_Bit_iterator std::__copy_move_a<false, std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator)
  0.13     14.71     0.02                             int* std::__copy_move_a2<false, int*, int*>(int*, int*, int*)
  0.13     14.73     0.02                             int* std::uninitialized_copy<int*, int*>(int*, int*, int*)
  0.13     14.75     0.02                             int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.13     14.77     0.02                             int* std::__uninitialized_move_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.13     14.79     0.02                             unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.13     14.81     0.02                             void std::_Destroy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::allocator<std::vector<char, std::allocator<char> > >&)
  0.10     14.83     0.02                             __gnu_cxx::new_allocator<std::vector<char, std::allocator<char> > >::allocate(unsigned long, void const*)
  0.10     14.84     0.02                             std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.10     14.86     0.02                             std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.10     14.87     0.02                             void std::_Destroy<int*>(int*, int*)
  0.06     14.88     0.01    18018     0.00     0.00  cv::Mat::Mat(cv::Mat const&)
  0.06     14.89     0.01        2     5.00     5.00  cv::Range::Range()
  0.06     14.90     0.01                             __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::new_allocator()
  0.06     14.91     0.01                             __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.06     14.92     0.01                             __gnu_cxx::new_allocator<int>::destroy(int*)
  0.06     14.93     0.01                             __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.06     14.94     0.01                             __gnu_cxx::new_allocator<int>::construct(int*, int const&)
  0.06     14.95     0.01                             __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.06     14.96     0.01                             __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::difference_type __gnu_cxx::operator-<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > > const&)
  0.06     14.97     0.01                             __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::difference_type __gnu_cxx::operator-<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > > const&)
  0.06     14.98     0.01                             __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::base() const
  0.06     14.99     0.01                             std::_Bit_iterator::operator*() const
  0.06     15.00     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
  0.06     15.01     0.01                             std::vector<bool, std::allocator<bool> >::end() const
  0.06     15.02     0.01                             std::vector<bool, std::allocator<bool> >::size() const
  0.06     15.03     0.01                             std::vector<bool, std::allocator<bool> >::max_size() const
  0.06     15.04     0.01                             std::vector<char, std::allocator<char> >::end() const
  0.06     15.05     0.01                             std::vector<char, std::allocator<char> >::max_size() const
  0.06     15.06     0.01                             std::vector<int, std::allocator<int> >::end() const
  0.06     15.07     0.01                             std::vector<int, std::allocator<int> >::max_size() const
  0.06     15.08     0.01                             std::allocator<std::vector<int, std::allocator<int> > >::allocator()
  0.06     15.09     0.01                             std::allocator<int>::allocator(std::allocator<int> const&)
  0.06     15.10     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, true>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.06     15.11     0.01                             std::_Iter_base<std::_Bit_const_iterator, false>::_S_base(std::_Bit_const_iterator)
  0.06     15.12     0.01                             char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*)
  0.06     15.13     0.01                             int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*)
  0.06     15.14     0.01                             void std::_Destroy_aux<false>::__destroy<std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.06     15.15     0.01                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.06     15.16     0.01                             std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl()
  0.06     15.17     0.01                             std::_Vector_base<char, std::allocator<char> >::_Vector_impl::~_Vector_impl()
  0.06     15.18     0.01                             std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.06     15.19     0.01                             std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.06     15.20     0.01                             std::_Bit_iterator::_Bit_iterator()
  0.06     15.21     0.01                             std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl()
  0.06     15.22     0.01                             std::_Bvector_base<std::allocator<bool> >::_Bvector_base()
  0.06     15.23     0.01                             char* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<char>(char const*, char const*, char*)
  0.06     15.24     0.01                             std::vector<char, std::allocator<char> >* std::__uninitialized_copy<false>::__uninit_copy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.06     15.25     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::back()
  0.06     15.26     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::resize(unsigned long, std::vector<char, std::allocator<char> >)
  0.06     15.27     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::~vector()
  0.06     15.28     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::back()
  0.06     15.29     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::operator[](unsigned long)
  0.06     15.30     0.01                             std::vector<bool, std::allocator<bool> >::_M_insert_aux(std::_Bit_iterator, bool)
  0.06     15.31     0.01                             std::vector<bool, std::allocator<bool> >::begin()
  0.06     15.32     0.01                             std::vector<char, std::allocator<char> >::push_back(char const&)
  0.06     15.33     0.01                             std::vector<char, std::allocator<char> >::operator[](unsigned long)
  0.06     15.34     0.01                             std::vector<int, std::allocator<int> >* std::__addressof<std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >&)
  0.06     15.35     0.01                             std::_Miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.06     15.36     0.01                             std::_Niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.06     15.37     0.01                             std::_Niter_base<std::_Bit_iterator>::iterator_type std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.06     15.38     0.01                             char* std::__copy_move_a<false, char const*, char*>(char const*, char const*, char*)
  0.06     15.39     0.01                             unsigned long* std::__copy_move_a<false, unsigned long*, unsigned long*>(unsigned long*, unsigned long*, unsigned long*)
  0.06     15.40     0.01                             char* std::__copy_move_a2<false, char*, char*>(char*, char*, char*)
  0.06     15.41     0.01                             std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator)
  0.06     15.42     0.01                             char* std::uninitialized_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.06     15.43     0.01                             std::vector<char, std::allocator<char> >* std::uninitialized_copy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.06     15.44     0.01                             std::vector<int, std::allocator<int> >* std::uninitialized_copy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.06     15.45     0.01                             void std::uninitialized_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.06     15.46     0.01                             int* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, int>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*, std::allocator<int>&)
  0.06     15.47     0.01                             int* std::copy<int*, int*>(int*, int*, int*)
  0.06     15.48     0.01                             void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.03     15.49     0.01                             __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&)
  0.03     15.49     0.01                             __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::base() const
  0.03     15.50     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.03     15.50     0.01                             std::_Iter_base<char*, false>::_S_base(char*)
  0.03     15.51     0.01                             void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >)
  0.03     15.51     0.01                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_allocate(unsigned long)
  0.03     15.52     0.01                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.03     15.52     0.01                             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.03     15.53     0.01                             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_Vector_impl::~_Vector_impl()
  0.03     15.53     0.01                             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.03     15.54     0.01                             std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.03     15.54     0.01                             std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.03     15.55     0.01                             std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.03     15.55     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end()
  0.03     15.56     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::begin()
  0.03     15.56     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::insert(__gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.03     15.57     0.01                             std::vector<bool, std::allocator<bool> >::push_back(bool)
  0.03     15.57     0.01                             std::vector<int, std::allocator<int> >::end()
  0.03     15.58     0.01                             int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.03     15.58     0.01                             int* std::__copy_move_backward_a<false, int*, int*>(int*, int*, int*)
  0.03     15.59     0.01                             std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.03     15.59     0.01                             std::vector<int, std::allocator<int> >* std::__uninitialized_move_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.03     15.60     0.01                             int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.03     15.60     0.01                             void std::_Destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.03     15.61     0.01                             void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.03     15.61     0.01                             operator delete(void*, void*)
  0.00     15.61     0.00   180180     0.00     0.00  cv::Point_<int>::Point_()
  0.00     15.61     0.00   117120     0.00     0.00  cv::Mat::release()
  0.00     15.61     0.00   108108     0.00     0.00  cv::Mat::MStep::operator[](int)
  0.00     15.61     0.00   108108     0.00     0.00  cv::Mat::MStep::operator[](int) const
