Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
  0.12     11.48     0.02                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.12     11.50     0.02                             std::iterator<std::random_access_iterator_tag, bool, long, bool*, bool&>::iterator()
  0.12     11.51     0.02                             int* std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.12     11.53     0.02                             void std::_Destroy<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.12     11.54     0.02                             operator new(unsigned long, void*)
  0.08     11.55     0.01   163166    61.30    61.30  cv::Mat::Mat()
  0.08     11.56     0.01                             cv::Mat::Mat(int, int, int, cv::Scalar_<double> const&)
  0.08     11.57     0.01                             __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.08     11.58     0.01                             __gnu_cxx::new_allocator<char>::construct(char*, char const&)
  0.08     11.59     0.01                             __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.08     11.60     0.01                             __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.08     11.61     0.01                             __gnu_cxx::new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.08     11.62     0.01                             __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::__normal_iterator(std::vector<char, std::allocator<char> >* const&)
  0.08     11.63     0.01                             __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.08     11.64     0.01                             __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::difference_type __gnu_cxx::operator-<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > > const&)
  0.08     11.65     0.01                             __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::base() const
  0.08     11.66     0.01                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_get_Tp_allocator() const
  0.08     11.67     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_check_len(unsigned long, char const*) const
  0.08     11.68     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::size() const
  0.08     11.69     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_check_len(unsigned long, char const*) const
  0.08     11.70     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::size() const
  0.08     11.71     0.01                             std::vector<bool, std::allocator<bool> >::end() const
  0.08     11.72     0.01                             std::vector<bool, std::allocator<bool> >::size() const
  0.08     11.73     0.01                             std::vector<bool, std::allocator<bool> >::max_size() const
  0.08     11.74     0.01                             std::vector<char, std::allocator<char> >::end() const
  0.08     11.75     0.01                             std::vector<char, std::allocator<char> >::size() const
  0.08     11.76     0.01                             std::vector<int, std::allocator<int> >::begin() const
  0.08     11.77     0.01                             std::allocator<int>::allocator(std::allocator<int> const&)
  0.08     11.78     0.01                             std::allocator<unsigned long>::allocator()
  0.08     11.79     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, false>::_S_base(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.08     11.80     0.01                             std::_Iter_base<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, false>::_S_base(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.08     11.81     0.01                             void std::_Destroy_aux<false>::__destroy<std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.08     11.82     0.01                             void std::_Destroy_aux<false>::__destroy<std::vector<int, std::allocator<int> >*>(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*)
  0.08     11.83     0.01                             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_allocate(unsigned long)
  0.08     11.84     0.01                             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_deallocate(std::vector<int, std::allocator<int> >*, unsigned long)
  0.08     11.85     0.01                             std::_Vector_base<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::_M_get_Tp_allocator()
  0.08     11.86     0.01                             std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl()
  0.08     11.87     0.01                             std::_Vector_base<char, std::allocator<char> >::_M_deallocate(char*, unsigned long)
  0.08     11.88     0.01                             std::_Vector_base<char, std::allocator<char> >::_Vector_base(unsigned long, std::allocator<char> const&)
  0.08     11.89     0.01                             std::_Vector_base<char, std::allocator<char> >::~_Vector_base()
  0.08     11.90     0.01                             std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl(std::allocator<int> const&)
  0.08     11.91     0.01                             std::_Bit_iterator::operator++(int)
  0.08     11.92     0.01                             std::_Bit_const_iterator::_Bit_const_iterator(std::_Bit_iterator const&)
  0.08     11.93     0.01                             char* std::__copy_move_backward<false, true, std::random_access_iterator_tag>::__copy_move_b<char>(char const*, char const*, char*)
  0.08     11.94     0.01                             char* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*>(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >, char*)
  0.08     11.95     0.01                             int* std::__uninitialized_copy<true>::__uninit_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.08     11.96     0.01                             char* std::__uninitialized_copy<true>::__uninit_copy<char*, char*>(char*, char*, char*)
  0.08     11.97     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::back()
  0.08     11.98     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::vector()
  0.08     11.99     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::operator[](unsigned long)
  0.08     12.00     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::end()
  0.08     12.01     0.01                             std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::resize(unsigned long, std::vector<int, std::allocator<int> >)
  0.08     12.02     0.01                             std::vector<bool, std::allocator<bool> >::_M_insert_aux(std::_Bit_iterator, bool)
  0.08     12.03     0.01                             std::vector<bool, std::allocator<bool> >::push_back(bool)
  0.08     12.04     0.01                             std::vector<bool, std::allocator<bool> >::vector()
  0.08     12.05     0.01                             void std::_Construct<std::vector<char, std::allocator<char> >, std::vector<char, std::allocator<char> > >(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> > const&)
  0.08     12.06     0.01                             std::_Miter_base<int*>::iterator_type std::__miter_base<int*>(int*)
  0.08     12.07     0.01                             std::_Miter_base<std::_Bit_iterator>::iterator_type std::__miter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.08     12.08     0.01                             std::_Niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > > >(__gnu_cxx::__normal_iterator<char const*, std::vector<char, std::allocator<char> > >)
  0.08     12.09     0.01                             std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.08     12.10     0.01                             std::_Niter_base<std::_Bit_iterator>::iterator_type std::__niter_base<std::_Bit_iterator>(std::_Bit_iterator)
  0.08     12.11     0.01                             int* std::__copy_move_a<false, int const*, int*>(int const*, int const*, int*)
  0.08     12.12     0.01                             int* std::__copy_move_a<false, int*, int*>(int*, int*, int*)
  0.08     12.13     0.01                             std::_Bit_iterator std::__copy_move_a<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.08     12.14     0.01                             int* std::__copy_move_a2<false, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.08     12.15     0.01                             char* std::__copy_move_a2<false, char*, char*>(char*, char*, char*)
  0.08     12.16     0.01                             std::_Bit_iterator std::__copy_move_a2<false, std::_Bit_const_iterator, std::_Bit_iterator>(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.08     12.17     0.01                             int* std::uninitialized_copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*>(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, int*)
  0.08     12.18     0.01                             std::vector<char, std::allocator<char> >* std::uninitialized_copy<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*>(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*)
  0.08     12.19     0.01                             char* std::uninitialized_copy<char*, char*>(char*, char*, char*)
  0.08     12.20     0.01                             std::_Bit_iterator std::__copy_move_backward_a<false, std::_Bit_iterator, std::_Bit_iterator>(std::_Bit_iterator, std::_Bit_iterator, std::_Bit_iterator)
  0.08     12.21     0.01                             int* std::__uninitialized_copy_a<int*, int*, int>(int*, int*, int*, std::allocator<int>&)
  0.08     12.22     0.01                             std::vector<char, std::allocator<char> >* std::__uninitialized_move_a<std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::allocator<std::vector<char, std::allocator<char> > > >(std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::vector<char, std::allocator<char> >*, std::allocator<std::vector<char, std::allocator<char> > >&)
  0.08     12.23     0.01                             char* std::__uninitialized_move_a<char*, char*, std::allocator<char> >(char*, char*, char*, std::allocator<char>&)
  0.08     12.24     0.01                             unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.08     12.25     0.01                             void std::_Destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::allocator<int>&)
  0.08     12.26     0.01                             void std::_Destroy<char*>(char*, char*)
  0.08     12.27     0.01                             void std::_Destroy<char*, char>(char*, char*, std::allocator<char>&)
  0.08     12.28     0.01                             void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.08     12.29     0.01                             std::operator-(std::_Bit_iterator_base const&, std::_Bit_iterator_base const&)
  0.04     12.30     0.01                             _GLOBAL__sub_I__Z11chordCenterPKhiiiiPd
  0.04     12.30     0.01                             cv::Scalar_<double>::Scalar_(double)
  0.04     12.31     0.01                             __gnu_cxx::new_allocator<std::vector<int, std::allocator<int> > >::allocate(unsigned long, void const*)
  0.04     12.31     0.01                             __gnu_cxx::new_allocator<int>::~new_allocator()
  0.04     12.32     0.01                             cv::Mat::type() const
  0.04     12.32     0.01                             __gnu_cxx::new_allocator<char>::max_size() const
  0.04     12.33     0.01                             __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::operator*() const
  0.04     12.33     0.01                             __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::operator*() const
  0.04     12.34     0.01                             std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.04     12.34     0.01                             std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.04     12.35     0.01                             std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.04     12.35     0.01                             std::_Bit_reference::operator=(std::_Bit_reference const&)
  0.04     12.36     0.01                             void std::__uninitialized_fill_n<false>::__uninit_fill_n<std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, unsigned long, std::vector<int, std::allocator<int> > const&)
  0.04     12.36     0.01                             std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::resize(unsigned long, std::vector<char, std::allocator<char> >)
  0.04     12.37     0.01                             std::vector<bool, std::allocator<bool> >::end()
  0.04     12.37     0.01                             std::vector<int, std::allocator<int> >::operator=(std::vector<int, std::allocator<int> > const&)
  0.04     12.38     0.01                             std::vector<int, std::allocator<int> >* std::__uninitialized_copy_a<std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> > >(std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::vector<int, std::allocator<int> >*, std::allocator<std::vector<int, std::allocator<int> > >&)
  0.04     12.38     0.01                             operator delete(void*, void*)
  0.00     12.38     0.00   516516     0.00     0.00  cv::Mat::MStep::operator[](int)
  0.00     12.38     0.00   516516     0.00     0.00  cv::Mat::MStep::operator[](int) const
  0.00     12.38     0.00   421424     0.00    33.70  cv::Mat::~Mat()
  0.00     12.38     0.00   326329     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00     12.38     0.00   326329     0.00     0.00  cv::Mat::MStep::MStep()
  0.00     12.38     0.00   249249     0.00     0.00  cv::Size_<int>::Size_(int, int)
  0.00     12.38     0.00   172172     0.00    33.70  cv::Mat::operator=(cv::Mat const&)
  0.00     12.38     0.00    95095     0.00     0.00  cv::Mat::MSize::operator()() const
  0.00     12.38     0.00    86086     0.00     0.00  cv::Mat::Mat(cv::Mat const&)
  0.00     12.38     0.00    18018     0.00     0.00  cv::Mat::operator()(cv::Range, cv::Range) const
  0.00     12.38     0.00     9011     0.00     0.00  cv::Range::Range()
  0.00     12.38     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     12.38     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.08% of 12.38 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     81.7   10.11    0.00                 chord(unsigned char const*, int, int, int, int, int, bool) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]      1.0    0.11    0.02                 morphPeakFind(cv::Mat, morphParams, int*, int) [2]
                0.01    0.00  154154/163166      cv::Mat::Mat() [128]
                0.00    0.01  231231/421424      cv::Mat::~Mat() [53]
                0.00    0.00   77077/172172      cv::Mat::operator=(cv::Mat const&) [130]
                0.00    0.00   77077/95095       cv::Mat::MSize::operator()() const [159]
-----------------------------------------------
                                                 <spontaneous>
[3]      0.6    0.07    0.00                 std::vector<int, std::allocator<int> >::_M_insert_aux(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      0.5    0.07    0.00                 std::_Niter_base<char*>::iterator_type std::__niter_base<char*>(char*) [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      0.5    0.06    0.00                 int* std::uninitialized_copy<int*, int*>(int*, int*, int*) [5]
-----------------------------------------------
                                                 <spontaneous>
[6]      0.5    0.06    0.00                 float& cv::Mat::at<float>(int) [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      0.5    0.06    0.00                 int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<int>(int const*, int const*, int*) [7]
-----------------------------------------------
                                                 <spontaneous>
[8]      0.5    0.06    0.00                 std::vector<char, std::allocator<char> >::_M_insert_aux(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char const&) [8]
-----------------------------------------------
                                                 <spontaneous>
[9]      0.3    0.04    0.00                 chordCenter(unsigned char const*, int, int, int, int, double*) [9]
-----------------------------------------------
                                                 <spontaneous>
[10]     0.3    0.04    0.00                 std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > >::back() [10]
-----------------------------------------------
                                                 <spontaneous>
[11]     0.2    0.03    0.00                 __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     0.2    0.03    0.00                 std::vector<bool, std::allocator<bool> >::begin() const [12]
-----------------------------------------------
                                                 <spontaneous>
[13]     0.2    0.03    0.00                 std::vector<int, std::allocator<int> >::size() const [13]
-----------------------------------------------
                                                 <spontaneous>
[14]     0.2    0.03    0.00                 char* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<char>(char const*, char const*, char*) [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     0.2    0.03    0.00                 std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator() [15]
-----------------------------------------------
                                                 <spontaneous>
